Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score	LemQuery	LenQuery	LenEtalon	ShortEtalon	ShortLemEtalon	LenShortEtalon
Здравствуйте. Подскажите, пожалуйста, к какой амортизационной группе относится сервер	1696621	9	545844	Амортизационные группы обязательны только для целей налога на прибыль, чтобы определить срок полезного использования для амортизации. Подробнее см. https://vip.1gl.ru/#/document/16/134215/actual/	к какой амортизационной группе относится сервер	какой амортизационный группа относиться сервер	0.998673677444458	какой амортизационный группа относиться сервер	5	5	амортизационная группа и срок полезного использования	амортизационный группа и срок полезный использование	6
Как перечислять НДФЛ с превышения 15% на единый счет?	9975031	9	494803	Доходы свыше 5 млн руб. облагают по повышенной ставке НДФЛ в размере 15 процентов. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/128935/actual/	зарплата ндфл с превышения 15%	зарплата ндфл с превышение 15	0.998879313468933	перечислять ндфл с превышение 15 единый счет	7	5	15 ндфл несколько налоговых агентов	15 ндфл несколько налоговый агент	5
что из банкетного обслуживания входит в представительские расходы ?	7791634	9	419738	К представительским расходам можно отнести затраты:на официальный прием и (или) обслуживание (в том числе буфетное) представителей других организаций, а также официальных лиц самой организации;транспортное обеспечение доставки к месту проведения представительского мероприятия и (или) заседания руководящего органа и обратно;оплату услуг переводчиков (не состоящих в штате организации) во время представительских мероприятий. Подробнее смотрите https://vip.1gl.ru/#/document/86/295323/actual/	что входит в состав представительских расходов	входить состав представительский расход	0.999514222145081	банкетный обслуживание входить представительский расход	5	4	представительские расход	представительский расход	2
Добрый день, можно директору- учредителю не начислять зарплату ?	5380493	9	511933	Если директор работает в компании по трудовому договору, ему нужно платить зарплату. Подробнее в материале https://vip.1gl.ru/#/document/86/565908/actual/	может ли директор не получать зарплату если он учредитель	директор не получать зарплата он учредитель	0.998250842094421	можно директор учредитель не начислять зарплата	6	6	директор отказался от зарплаты	директор отказываться зарплата	3
Добрый день. Подскажите, пожалуйста, как правильно подать уточненное уведомление	1590629	9	552424	При ошибке в уведомлении об исчисленных налогах и взносах, направьте в налоговую инспекцию новое уведомление с верными реквизитами. Далее читайте https://vip.1gl.ru/#/document/86/631835/actual/	как подавать уточненное уведомление	подавать уточнять уведомление	0.998651027679443	подавать уточнять уведомление	3	3	как уточнить уведомление об исчисленных налогах	уточнять уведомление исчислять налог	4
добрый день, выплата по ГПХ договору какими налогами облагается?	136876	9	505045	Любой договор, который заключили по правилам ГК, признается гражданско-правовым. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/130708/actual/	какими взносами облагается гпх	какой взнос облагаться гпх	0.99947726726532	выплата гпх договор какой налог облагаться	6	4	договор гпх с физическим лицом страховые взносы	договор гпх с физический лицо страховой взнос	7
Добрый день. Подскажите как законно снизить налоги и взносы?	5711773	9	466510	В спецпроекте – способы налоговой экономии, которые чаще всего используют на практике компании и ИП, чтобы сэкономить на страховых взносах и НДФЛ, НДС, налоге на прибыль и налоге на имущество, а также по налогу на УСН. Далее читайте https://vip.1gl.ru/#/document/16/124211/actual/	как законно снизить налоги и взносы	законно снижать налог и взнос	0.999609649181366	законно снижать налог и взнос	5	5	справочник изменений по закону об оптимизации закупок	справочник изменение закон оптимизация закупка	5
добрый день! Скажите нужно ли подавать уведомление по фиксированным страховым взносам за 2023 год	0	0	552456	Подавать уведомление для ЕНП по фиксированным страховым взносам, которые ИП платит за себя, не надо. Подробнее см. https://www.1gl.ru/#/document/86/631875/actual/	надо ли подавать уведомления в 23 году по фиксированным страховым взносам	подавать уведомление 23 год фиксированный страховой взнос	0.999233841896057	подавать уведомление фиксированный страховой взнос 2023 год	7	7	надо ли подавать уведомление для налога 1 процента для ип	подавать уведомление налог 1 процент ипать	6
Добрый день! Можно ли принять расходы на корпоратив если организация на ОСНО?	0	0	405555	Расходы на корпоратив обычно включают в себя затраты на аренду зала, банкет, выступление артистов, украшение помещений. Подробнее в материале https://www.1gl.ru/#/document/16/114996/actual/	расходы на корпоратив на осно	расход корпоратив осно	0.999007821083069	принимать расход корпоратив организация осно	5	3	как учесть расходы на проведение новогоднего корпоратива	учитывать расход проведение новогодний корпоратив	5
Добрый день! Как подтвердить что компания на усн если утеренно уведомление о переходе	0	0	476553	Для применения упрощенки нужно соответствовать определенным критериям и в установленные сроки уведомить ФНС о выборе спецрежима и объекте налогообложения. Ссылка по вашему вопросу https://www.1gl.ru/#/document/16/115250/actual/	уведомление на переход на усн	уведомление переход усна	0.998914182186127	подтверждать компания усна утеренно уведомление переход	6	3	заявление на усн	заявление усна	2
